# list of object assets to load in this scene
[ASSETS]
mario.txt
coin.txt
cloud.txt
brick.txt
Goomba.txt
ground.txt 
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	120	10

#COIN
4	100	180
4	120	180
4	140	180
4	160	180
4	180	180

4	100	140
4	120	140
4	140	140
4	160	140
4	180	140


4	100	120
4	120	120
4	140	120
4	160	120
4	180	120


4	100	100
4	120	100
4	140	100
4	160	100
4	180	100

4	100	80
4	120	80
4	140	80
4	160	80
4	180	80

# BRICK

1	80	80
1	90	90
1	100	100
1	100	116


#Platform
5 	0	195	16	15	32	61000	62000	63000
5	140	140	16	15	26	51000	52000	53000


#Portal 
50	200	160	216	180	1

